X0, X1, LABEL, ESTIMATED_LABEL, RAW_SCORE
0.307502, 0.320088, 0, 0, 0.142653
1.64653, 0.326447, 0, 0, 0
0.838483, 0.441361, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.552956, 0.746715, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.231162, 0.47816, 0, 0, 0.125979
0.307502, 0.320088, 0, 0, 0.142653
1.39773, 1.36429, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.446721, 0.299036, 0, 0, 0.0816704
0.307502, 0.320088, 0, 0, 0.142653
1.76274, 0.60404, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
1.8872, 0.260307, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
1.04372, 0.307699, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
1.10024, 0.933222, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
2.05982, 0.271576, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.588327, 1.01586, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.636427, 2.07795, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.994371, 1.72323, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
